movie_id,cast_name,writer,producer,director
1452,"Brandon Routh,Kevin Spacey,Kate Bosworth,James Marsden,Parker Posey,Frank Langella,Sam Huntington,Eva Marie Saint,Marlon Brando,Kal Penn,Tristan Lake Leabu,David Fabrizio,Ian Roberts,Vincent Stone,Jack Larson,Noel Neill,Keegan Joyce,Jordana Beatty",,"Jon Peters,Gilbert Adler,Bryan Singer",Bryan Singer
10764,"Daniel Craig,Olga Kurylenko,Mathieu Amalric,Judi Dench,Giancarlo Giannini,Gemma Arterton,Jeffrey Wright,David Harbour,Jesper Christensen,Anatole Taubman,Rory Kinnear,Glenn Foster,Paul Ritter,Stana Katic,Lucrezia Lante della Rovere,Neil Jackson,Oona Chaplin,Rachel McDowall,Gustavo Nanez,Mark Wakeling,Sarah Hadland,David Decio,Aaron King,Alexandra Prusa,Brandon Jovanovich,Alexandre Krawetz,Simon Kassianides",,"Barbara Broccoli,Michael G. Wilson",Marc Forster
58,"Johnny Depp,Orlando Bloom,Keira Knightley,Bill Nighy,Jack Davenport,Kevin McNally,Jonathan Pryce,Lee Arenberg,Mackenzie Crook,Tom Hollander,Naomie Harris,David Bailie,Martin Klebba,David Schofield,Alex Norton,Geoffrey Rush,Dermot Keaney,Andy Beckwith,Clive Ashborn,Reggie Lee,Christopher Adamson,Jonathan Linsley,John Boswall,Max Baker,Steve Speirs,Lauren Maher,Vanessa Branch,Luke de Woolfson,Jonathan Kite,Peter Donald Badalamenti II,Christopher S. Capp",,"Jerry Bruckheimer,Peter Kohn,Pat Sandston",Gore Verbinski
57201,"Johnny Depp,Armie Hammer,William Fichtner,Helena Bonham Carter,James Badge Dale,Tom Wilkinson,Ruth Wilson,Barry Pepper,James Frain,Mason Cook,Leon Rippy,Harry Treadaway,Damon Herriman,W. Earl Brown,Gil Birmingham,Saginaw Grant,Stephen Brodie,Matthew Page,Nick W. Nicholson,Bryant Prince,JD Cullum,Timothy V. Murphy,Damon Carney,Kevin Wiggins,Chad Brummett,Robert Baker,Lew Temple,Stephen Root,Randy Oglesby,Brad Greenquist,Rance Howard,Leonard Earl Howze,Travis Hammer,Steve Corona,Jack Axelrod,Christopher Hagen,Freda Foh Shen,Margaret Bowman,Luz P. Mendez,Laina Loucks,Devon J. Adams,Desirae Anslover,Charlotte Cormier,Megan Pribyl,Briana Van Schuyver,Julie Stracener,Chad Randall,Jason E. Hill,Beth Bailey,Joanne Camp,Bob Rumnock,Tait Fletcher,Alex Knight,Argos MacCallum,Pokey Lafarge,Joey Glynn,Adam Hoskins,Ryan Koenig",,"Gore Verbinski,Jerry Bruckheimer",Gore Verbinski
49521,"Henry Cavill,Amy Adams,Michael Shannon,Kevin Costner,Diane Lane,Russell Crowe,Laurence Fishburne,Antje Traue,Christopher Meloni,Jadin Gould,Tahmoh Penikett,Ayelet Zurer,Richard Schiff,Dylan Sprayberry,Michael Kelly,Carla Gugino,Richard Cetrone,Mackenzie Gray,Julian Richings,Mary Black,Samantha Jo,Rebecca Buller,Christina Wren,David Lewis,Doug Abrahams,Brad Kelly,Alessandro Juliani,Jack Foley,Robert Gerdisch,Harry Lennix,Jacqueline Scislowski,Sean Campbell,Raj Lal",,"Charles Roven,Christopher Nolan,Emma Thomas,Deborah Snyder",Zack Snyder
2454,"Ben Barnes,William Moseley,Anna Popplewell,Skandar Keynes,Georgie Henley,Sergio Castellitto,Alicia Borrachero,Peter Dinklage,Warwick Davis,Vincent Grass,Pierfrancesco Favino,Predrag Bjelac,Shane Rangi,Cornell John,Liam Neeson,Ken Stott,Tilda Swinton,Eddie Izzard",,"Mark Johnson,Andrew Adamson,Philip Steuer",Andrew Adamson
24428,"Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson,Jeremy Renner,Tom Hiddleston,Clark Gregg,Cobie Smulders,Samuel L. Jackson,Gwyneth Paltrow,Paul Bettany,Jenny Agutter,Walter Perez,Powers Boothe,Stan Lee,Arthur Darbinyan,Donald Li,Ashley Johnson,Harry Dean Stanton,Alicia Sixtos,Dieter Riesle,Jamie McShane,Jeff Wolfe,Jerzy Skolimowski,Alexis Denisof,James Eckhouse,Enver Gjokaj,Damion Poitier,Tina Benko,Kirill Nikiforov,Rashmi Rustagi,Warren Kole,Jesse Garcia,Kenneth Tigar,Josh Cowdery,Katsumi Komatsu,Yumiko Komatsu,Momoko Komatsu,Robert Clohessy,Fernanda Toker,Andrea Vecchio,Robin Swoboda,Brent McGee,Michael Zhang,Kelley Robins,Romy Rosemont,Pat Kiernan,Thomas Roberts,Jillian Morgese,Catherine Anderson,Ricardo Andres,Logan Bennett,Mayank Bhatter,Sharita Bone,Jason Botsford,Mary Kate Campbell,Gene N. Chavez,Layla Cushman,Robert Dean,Rick Dremann,Jeffrey Feingold,Lou Ferrigno,Rod Fielder,Eric Frank,Israel Hall,Carmen Dee Harris,Alexander Christopher Jones,Mike Karban,Demoine Kinney,Andrew Knode,Annette Lawless,Kimberly J. Mahoney,Todd Manes,Jorge Mardel,Tiffany Sander McKenzie,Michael McMillan,Sean Meehan,Joti Nagra,Holly Neelie,Caleb Daniel Noal,Jeremy Orr,Nate Paige,Martin Palmer,Maria Perossa,Caleb Pieplow,Alexander Daniel Pimentel,Frank Powers,Jaime Powers,Brent Reichert,Kelly Ruble,Gina Sarno,Robert B. Schneider IV,Jeff Seich,Christina Shaffer,Alonda Shevette,Douglas Slygh,Colin Strause,Robert P. Thitoff,George Thomas,Shane Thompson,Jerry Lee Tucker,Tai Urban,Chris Vaina,Sandra Weston,Seth Zielicke,Alex DeCourville,Debbie Scaletta,Tina Grimm",,Kevin Feige,Joss Whedon
1865,"Johnny Depp,Ian McShane,Kevin McNally,Geoffrey Rush,Sam Claflin,Stephen Graham,Greg Ellis,Richard Griffiths,Keith Richards,Gemma Ward,Judi Dench,Ian Mercer,Robbie Kay,Christopher Fairbank,Yuki Matsuzaki,Steve Evets,Bronson Webb,Derek Mears,Deobia Oparei,Sebastian Armesto,Anton Lesser,Roger Allam,Paul Bazely,Richard Thomson,Danny Le Boyer,Luke Roberts,Emilia Jones,Sanya Hughes,LeJon,Siegfried Peters",,Jerry Bruckheimer,Rob Marshall
41154,"Will Smith,Tommy Lee Jones,Josh Brolin,Michael Stuhlbarg,Emma Thompson,Jemaine Clement,Nicole Scherzinger,Alice Eve,Bill Hader,Michael Chernus,David Rasche,Keone Young,Cayen Martin,Mike Colter,Mela Hudson,Will Arnett,Kelvin Davis,Dan Bittner",Lowell Cunningham,"Walter F. Parkes,Laurie MacDonald",Barry Sonnenfeld
122917,"Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish,William Kircher,James Nesbitt,Stephen Hunter,Aidan Turner,John Callen,Peter Hambleton,Jed Brophy,Mark Hadlow,Adam Brown,Orlando Bloom,Evangeline Lilly,Lee Pace,Cate Blanchett,Hugo Weaving,Christopher Lee,Ian Holm,Mikael Persbrandt,Sylvester McCoy,Luke Evans,Stephen Fry,John Bell,Ryan Gage,Peggy Nesbitt,Mary Nesbitt,Manu Bennett,John Tui,Billy Connolly,Benedict Cumberbatch,Kelly Kilgour,Sarah Peirse,Nick Blake,Simon London,Conan Stevens,Allan Smith,Miranda Harcourt,Thomasin McKenzie","Peter Jackson,Fran Walsh,Philippa Boyens,Guillermo del Toro","Peter Jackson,Fran Walsh,Carolynne Cunningham,Zane Weiner",Peter Jackson
1930,"Andrew Garfield,Emma Stone,Rhys Ifans,Denis Leary,Campbell Scott,Irrfan Khan,Martin Sheen,Sally Field,Max Charles,Chris Zylka,Embeth Davidtz,Leif Gantvoort,Hannah Marks,Kelsey Asbille,C. Thomas Howell,Stan Lee,Michael Massee,Michael Papajohn,Kari Coleman,Charlie DePew,Skyler Gisondo,Jacob Rodier,Jake Keiffer,Kevin McCorkle,Barbara Eve Harris,Danielle Burgio,Michael Barra,Andy Pessoa,Andy Gladbach,Tom Waite,Keith Campbell,Steve DeCastro,James Chen,Alexander Bedria,John Burke,Jill Flint,Mark Daugherty,Vincent Laresca,Damien Lemon,Ty Upshaw,Tia Texada,Jay Caputo,Terry Bozeman,Jennifer Lyons,Amber Stevens,Zoey Deutch,Max Bogner,Ethan Cohn,Miles Elliot,Miranda LaDawn Hill,Amanda MacDonald,Maury Morgan,Amy Novondo,Kristin Quick",,"Laura Ziskin,Avi Arad,Matt Tolmach",Marc Webb
20662,"Russell Crowe,Cate Blanchett,Max von Sydow,William Hurt,Mark Strong,Oscar Isaac,Danny Huston,Eileen Atkins,Mark Addy,Matthew Macfadyen,Kevin Durand,Scott Grimes,Alan Doyle,Douglas Hodge,Robert Pugh,Gerard McSorley,Velibor Topic,Ciaran Flynn,Simon McBurney,Mark Lewis Jones,Bronson Webb,Ruby Bentall,Jessica Raine,John Nicholas,Roy Holder,Denise Gough,Luke Evans,Arthur Darvill,Giannina Facio,Ralph Ineson,Jake Curran",,"Brian Grazer,Ridley Scott,Russell Crowe",Ridley Scott
57158,"Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish,William Kircher,James Nesbitt,Stephen Hunter,Aidan Turner,Benedict Cumberbatch,Lee Pace,Luke Evans,Evangeline Lilly,Orlando Bloom,Mikael Persbrandt,Manu Bennett,Stephen Fry,John Bell,Sylvester McCoy,Terry Notary,Peter Hambleton,Cate Blanchett,Stephen Colbert,Jed Brophy,Sarah Peirse,Mary Nesbitt,Peggy Nesbitt,Mark Hadlow,John Callen,Adam Brown,Ben Mitchell",,"Peter Jackson,Fran Walsh,Carolynne Cunningham,Zane Weiner",Peter Jackson
2268,"Dakota Blue Richards,Nicole Kidman,Daniel Craig,Sam Elliott,Eva Green,Freddie Highmore,Ian McKellen,Ben Walker,Ian McShane,Kristin Scott Thomas,Kathy Bates,Jim Carter,Tom Courtenay,Christopher Lee,Simon McBurney,Jack Shepherd,Magda Szubanski,Derek Jacobi,Clare Higgins,Charlie Rowe,Steven Loton,Michael Antoniou,Mark Mottram,Hattie Morahan,Jason Watkins,Sam Hoare,Brian Nickels,Thomas Arnold,Helen Soraya",,"Bill Carraro,Deborah Forte",Chris Weitz
254,"Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks,Andy Serkis,Evan Parke,Jamie Bell,Lobo Chan,John Sumner,Craig Hall,Kyle Chandler,William Johnson,David Pittu,Mark Hadlow,Geraldine Brophy,David Dennis,Pip Mushin,Jim Knobeloch,Ric Herbert,Lee Donahue,Tom Hobbs,Tiriel Mora,Jed Brophy,John Wraight,William Wallace,Frank Edwards,Crawford Thomson,Richard Kavanagh,Stephen Hall,Joe Folau,Chic Littlewood,Samuel Taylor",,"Peter Jackson,Fran Walsh,Jan Blenkin,Carolynne Cunningham",Peter Jackson
597,"Kate Winslet,Leonardo DiCaprio,Frances Fisher,Billy Zane,Kathy Bates,Gloria Stuart,Bill Paxton,Bernard Hill,David Warner,Victor Garber,Jonathan Hyde,Suzy Amis,Lewis Abernathy,Nicholas Cascone,Danny Nucci,Jason Barry,Lew Palter,Eric Braeden,Bernard Fox,Ewan Stewart,Ioan Gruffudd,Jonny Phillips,Edward Fletcher,Scott G. Anderson,Martin East,Gregory Cooke,Alexandrea Owens,Seth Adkins,Michael Ensign,Anatoly M. Sagalevitch,Martin Hub,Mark Lindsay Chapman,Richard Graham,Paul Brightwell,Ron Donachie,Charlotte Chatton,Fannie Brett,Jenette Goldstein,Camilla Overbye Roos,Linda Kerns,Amy Gaipa,Martin Jarvis,Rosalind Ayres,Rochelle Rose,Brian Walsh,Rocky Taylor,Craig Kelly,Liam Tuohy,Simon Crane,James Lancaster,Elsa Raven,Reece P. Thompson III,Laramie Landis,Mark Rafael Truitt,John Walcutt,Terry Forrestal,Derek Lea,Richard Ashton,Sean Nepita,Brendan Connolly,David Cronnelly,Garth Wilton,Richard Fox,Nick Meaney,Kevin Owers,Mark Capri,Marc Cass,Paul Herbert,Emmett James,Chris Byrne,Oliver Page,James Garrett,Erik Holland,Erik Holland,Jari Kinnunen,Anders Falk,Barry Dennen,Vern Urich,Rebecca Klingler,Kathleen S. Dunn,Romeo Francis,Mandana Marino,Van Ling,Dan Pettersson,Shay Duffin,Greg Ellis,Diana Morgan,Kris Andersson,Bobbie Bates,Aaron James Cash,Anne Fletcher,Edmond Alan Forsyth,Andie Hicks,Scott Hislop,Stan Mazin,Lisa Ratzin,Julene Renee,Brian Baines,Ellie Bensinger,Alexandra Boyd,Mike Butters,James Cameron,Bruno Campolo,Chris Cragnotti,Kevyn Currie,Kevin De La Noy,Thomas Fiss,Griffin Howell,Sean Howse,Tony Kenny,Bret Aaron Knower,George Kosty III,George Kosty Jr.,Geoffrey C. Kosty,Gregory Charles Kosty,Sean Lawlor,John Leonhardt,Miguel A. Lomelin,Don Lynch,Johnny Martin,Ryan McClurkin,Meghan McLeod,Julian Oros,Phil Parlapiano,Judy Prestininzi,Steven Quale,Olivia Rosewood,John Slade,Stephen Wolfe Smith,R. Gern Trowbridge,Lucie Zolcerova",,"James Cameron,Jon Landau",James Cameron
